id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
1,Shkodran,Mustafi,1,3,1205,0,2,4,17,0,0,0,2,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
2,Héctor,Bellerín,1,3,1156,1,0,4,18,0,0,0,2,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
3,Sead,Kolasinac,1,3,1694,0,2,4,26,0,0,0,4,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
4,Ainsley,Maitland-Niles,1,3,1382,0,2,3,22,0,0,0,4,1,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
5,Sokratis,Papastathopoulos,1,3,1696,2,0,4,25,0,0,0,6,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
6,Nacho,Monreal,1,3,270,0,0,1,4,0,0,0,0,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
7,Laurent,Koscielny,1,3,0,0,0,0,0,0,0,0,0,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
8,Konstantinos,Mavropanos,1,3,0,0,0,0,0,0,0,0,0,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
9,Carl,Jenkinson,1,3,0,0,0,0,0,0,0,0,0,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
10,Rob,Holding,1,3,580,0,0,1,9,0,0,0,1,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
11,Pierre-Emerick,Aubameyang,1,3,3136,22,5,10,44,0,0,0,3,1,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
12,Alexandre,Lacazette,1,3,1867,10,7,5,25,0,0,0,8,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
13,Edward,Nketiah,1,3,628,2,0,3,9,0,0,0,0,1,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
14,Bernd,Leno,1,3,2649,0,0,7,39,0,1,0,2,0,113
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
15,Mesut,Özil,1,3,1439,1,3,5,20,0,0,0,1,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
16,Henrikh,Mkhitaryan,1,3,110,0,0,1,0,0,0,0,1,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
18,Granit,Xhaka,1,3,2586,1,2,10,31,0,0,0,10,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
19,Lucas,Torreira,1,3,1501,1,1,3,23,0,0,0,7,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
20,Mohamed,Elneny,1,3,0,0,0,0,0,0,0,0,0,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
21,Matteo,Guendouzi,1,3,1744,0,2,3,31,0,0,0,6,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
106,David,Luiz Moreira Marinho,1,3,2809,2,1,8,42,0,0,0,5,2,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
427,Emiliano,Martínez,1,3,770,0,0,3,9,0,0,0,2,0,34
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
467,Calum,Chambers,1,3,1102,1,1,3,15,0,0,0,5,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
469,Daniel,Ceballos Fernández,1,3,1687,0,2,7,21,0,0,0,1,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
486,Cédric,Soares,1,3,1553,1,1,4,20,0,0,0,1,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
488,Nicolas,Pépé,1,3,2004,5,6,5,30,0,0,0,4,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
489,Reiss,Nelson,1,3,622,1,1,2,7,0,0,0,1,0,0
id,first_name,second_name,team,team_code,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves
